id,Municipio,Con_Rezago,Sin_Rezago,Rezago
A1,Puebla,33147,436797,7.05
A2,Tehuacán,20156,64501,23.81
A3,Atlixco,7957,27283,22.58
A4,Huauchinango,11911,15847,42.90
